obs_id,global_id,pellet_type,pellet_age,pellet_dist,dist_to_edge,transect_dist,hab_type
1,2eb62165-bf94-47b2-a63a-af0776b4f48f,Pellet Cluster,Old,143.5,55,385,Low Sagebrush
2,2eb62165-bf94-47b2-a63a-af0776b4f48f,Pellet Cluster,Old,133,195,439,Low Sagebrush
3,ff0ed995-d726-43d9-b314-b4e4e07329b1,Pellet Cluster,Moderate,302,10,84,Perennial Grass
4,ff0ed995-d726-43d9-b314-b4e4e07329b1,Pellet Cluster,Moderate,75,38,112,Bare Ground
5,ff0ed995-d726-43d9-b314-b4e4e07329b1,Pellet Cluster,Old,35,37,123,Bare Ground
6,ff0ed995-d726-43d9-b314-b4e4e07329b1,Pellet Cluster,Moderate,87,47,148,Bare Ground
7,ff0ed995-d726-43d9-b314-b4e4e07329b1,Pellet Cluster,Very Old,99,52,163,Perennial Grass
8,ff0ed995-d726-43d9-b314-b4e4e07329b1,Single Pellet,Old,72,25,206,Bare Ground
9,ff0ed995-d726-43d9-b314-b4e4e07329b1,Single Pellet,Moderate,84,48,425,Low Sagebrush
10,9c68a1ac-1c8b-4bb0-aba4-dfbe45da26c4,,,,,,
11,d0a82760-3fd8-4fb3-93fa-f6b7c2f6b608,,,,,,
12,729e4ae1-42f2-4524-a28e-decc69df5654,Cecal Pellet,Old,96.52,180,408,Low Sagebrush
13,729e4ae1-42f2-4524-a28e-decc69df5654,Pellet Cluster,Old,133,185,414,Low Sagebrush
14,729e4ae1-42f2-4524-a28e-decc69df5654,Pellet Cluster,Old,5,140,448,Low Sagebrush
15,729e4ae1-42f2-4524-a28e-decc69df5654,Pellet Cluster,Old,20,140,450,Low Sagebrush
16,729e4ae1-42f2-4524-a28e-decc69df5654,Pellet Cluster,Old,12,140,451,Low Sagebrush
17,442c4ad4-2531-48e2-a4cd-760979aa1341,,,,,,
18,79fc1b1d-5f25-4d09-8a24-5538d973d90c,,,,,,
19,bd89000b-5dab-4170-946f-2d409750e28a,,,,,,
20,4a08462d-b85e-42e3-be35-736fe4ed7158,Single Pellet,Moderate,4,7.7,123,
21,4a08462d-b85e-42e3-be35-736fe4ed7158,Single Pellet,Old,14,44.7,183,
22,eb1bdea4-ae55-407d-acd2-8f52df0e34da,Single Pellet,Old,4,17.3,24,Wyoming Sagebrush
23,eb1bdea4-ae55-407d-acd2-8f52df0e34da,Pellet Cluster,Old,28,347.1,64,Wyoming Sagebrush
24,eb1bdea4-ae55-407d-acd2-8f52df0e34da,Single Pellet,Old,19,209.1,163,Wyoming Sagebrush
25,eb1bdea4-ae55-407d-acd2-8f52df0e34da,Single Pellet,Moderate,24,209,163,Wyoming Sagebrush
26,3485b656-8243-493c-932a-35397328294d,,,,,,
27,219ad254-d176-47ae-bb55-e79b32e5846f,Pellet Cluster,Moderate,15,31.8,80,Bare Ground
28,219ad254-d176-47ae-bb55-e79b32e5846f,Pellet Cluster,Moderate,13,16.9,24,Bare Ground
29,219ad254-d176-47ae-bb55-e79b32e5846f,Cecal Pellet,Moderate,106,87.5,44,Bare Ground
30,219ad254-d176-47ae-bb55-e79b32e5846f,Cecal Pellet,Old,25,17.2,176,Bare Ground
31,219ad254-d176-47ae-bb55-e79b32e5846f,Cecal Pellet,Very Old,22,12.8,204,Perennial Grass
32,f6c44516-da26-49c7-827b-23d0d632c9d5,,,,,,
33,16c61294-05c0-49e8-8927-04c7b49bf5cc,,,,,,
34,81723c8e-0ae7-4ed1-88a3-6d2993b363e1,,,,,,
35,4e9d64cb-034a-4585-9540-7bce0332a3d1,Pellet Cluster,Old,12,26.2,138,Wyoming Sagebrush
36,4e9d64cb-034a-4585-9540-7bce0332a3d1,Pellet Cluster,Old,16,83.7,147.7,Wyoming Sagebrush
37,f42e9d02-8395-40ab-b81d-b06c9580f1c4,Pellet Cluster,Moderate,197,24.7,6.6,Bare Ground
38,f42e9d02-8395-40ab-b81d-b06c9580f1c4,Pellet Cluster,Moderate,44,136.9,23.1,Wyoming Sagebrush
39,f42e9d02-8395-40ab-b81d-b06c9580f1c4,Pellet Cluster,Moderate,60,7.7,162.3,Bare Ground
40,f42e9d02-8395-40ab-b81d-b06c9580f1c4,Cecal Pellet,Very Old,61,66.1,160.5,Bare Ground
41,8c531a11-9336-4051-a0d8-210a97981939,,,,,,
42,ec740c22-0b5d-479a-8a51-4e66e943384e,Pellet Cluster,Moderate,27,71.3,118,Black Sagebrush
43,ec740c22-0b5d-479a-8a51-4e66e943384e,Pellet Cluster,Moderate,30,338.2,194,Black Sagebrush
44,b6251d26-a68d-416b-955d-c2121a237f58,Single Pellet,Very Old,3,45.2,41,Black Sagebrush
45,b6251d26-a68d-416b-955d-c2121a237f58,Single Pellet,Very Old,7,30.4,51,Black Sagebrush
46,b6251d26-a68d-416b-955d-c2121a237f58,Pellet Cluster,Old,23,40.1,82,Low Sagebrush
47,b6251d26-a68d-416b-955d-c2121a237f58,Single Pellet,Very Old,33,61.9,120,Low Sagebrush
48,b6251d26-a68d-416b-955d-c2121a237f58,Single Pellet,Very Old,36,70.2,131,Low Sagebrush
49,b6251d26-a68d-416b-955d-c2121a237f58,Pellet Cluster,Old,41,46.5,152,Black Sagebrush
50,b6251d26-a68d-416b-955d-c2121a237f58,Pellet Cluster,Very Old,22,43.1,162,Black Sagebrush
51,b6251d26-a68d-416b-955d-c2121a237f58,Pellet Cluster,Old,20,134.9,47,Black Sagebrush
52,b6251d26-a68d-416b-955d-c2121a237f58,Pellet Cluster,Moderate,19,91,47,Black Sagebrush
53,b6251d26-a68d-416b-955d-c2121a237f58,Pellet Cluster,Moderate,55,143.7,47,Black Sagebrush
54,b6251d26-a68d-416b-955d-c2121a237f58,Single Pellet,Old,81,76.8,133,Black Sagebrush
56,d4254715-fa77-4328-b58d-ae2d9313f340,Single Pellet,Old,18,85,390,Low Sagebrush
57,d4254715-fa77-4328-b58d-ae2d9313f340,Single Pellet,Old,21,18,491,Low Sagebrush
58,b341e374-3b31-4493-ad21-d5d76bf3c232,Single Pellet,Old,38,82,8,Low Sagebrush
59,b341e374-3b31-4493-ad21-d5d76bf3c232,Single Pellet,Old,7,80,9,Low Sagebrush
60,b341e374-3b31-4493-ad21-d5d76bf3c232,Pellet Cluster,Old,52,78,16,Low Sagebrush
61,b341e374-3b31-4493-ad21-d5d76bf3c232,Pellet Cluster,Old,3,77,20,Low Sagebrush
62,b341e374-3b31-4493-ad21-d5d76bf3c232,Single Pellet,Very Old,53,71,24,Low Sagebrush
63,b341e374-3b31-4493-ad21-d5d76bf3c232,Single Pellet,Old,36,62,42,Low Sagebrush
64,b341e374-3b31-4493-ad21-d5d76bf3c232,Single Pellet,Very Old,28,66,42,Low Sagebrush
65,b341e374-3b31-4493-ad21-d5d76bf3c232,Pellet Cluster,Old,6,55,49,Low Sagebrush
66,b341e374-3b31-4493-ad21-d5d76bf3c232,Pellet Cluster,Very Old,50,25,90,Low Sagebrush
67,b341e374-3b31-4493-ad21-d5d76bf3c232,Pellet Cluster,Very Old,9,4,144,Low Sagebrush
68,b341e374-3b31-4493-ad21-d5d76bf3c232,Pellet Cluster,Very Old,5,15,235,Low Sagebrush
69,b341e374-3b31-4493-ad21-d5d76bf3c232,Pellet Cluster,Very Old,42,13,236,Low Sagebrush
